"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","41","Yield","2007","Hg/Ha","66987.00000","A "
"Americas +","41","Yield","2007","Hg/Ha","95640.00000","A "
"Argentina","41","Yield","2007","Hg/Ha","63157.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","99278.00000","A "
"Australia","41","Yield","2007","Hg/Ha","67482.00000","Fc"
"Australia and New Zealand +","41","Yield","2007","Hg/Ha","61103.00000","A "
"Barbados","41","Yield","2007","Hg/Ha","48333.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","65894.00000","Fc"
"Bosnia and Herzegovina","41","Yield","2007","Hg/Ha","33333.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","157659.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","39285.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","139629.00000","A "
"Central African Republic","41","Yield","2007","Hg/Ha","62857.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","102918.00000","A "
"Chile","41","Yield","2007","Hg/Ha","62747.00000","Fc"
"China","41","Yield","2007","Hg/Ha","70769.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","70769.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","106749.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","78313.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","74698.00000","Fc"
"Cook Islands","41","Yield","2007","Hg/Ha","50000.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","50000.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","56476.00000","Fc"
"Cuba","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Cyprus","41","Yield","2007","Hg/Ha","105094.00000","Fc"
"Dominica","41","Yield","2007","Hg/Ha","43125.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","263434.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","100525.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","70769.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","95000.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","14710.00000","Fc"
"Ethiopia","41","Yield","2007","Hg/Ha","78571.00000","Fc"
"Europe +","41","Yield","2007","Hg/Ha","50865.00000","A "
"France","41","Yield","2007","Hg/Ha","60909.00000","Fc"
"French Guiana","41","Yield","2007","Hg/Ha","35714.00000","Fc"
"French Polynesia","41","Yield","2007","Hg/Ha","100000.00000","Fc"
