"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","41","Yield","2007","Hg/Ha","72325.00000","A "
"Algeria","41","Yield","2007","Hg/Ha","200000.00000","Fc"
"American Samoa","41","Yield","2007","Hg/Ha","23939.00000","Fc"
"Americas +","41","Yield","2007","Hg/Ha","197890.00000","A "
"Angola","41","Yield","2007","Hg/Ha","96774.00000","Fc"
"Antigua and Barbuda","41","Yield","2007","Hg/Ha","110000.00000","Fc"
"Argentina","41","Yield","2007","Hg/Ha","209195.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","227666.00000","A "
"Australia","41","Yield","2007","Hg/Ha","155241.00000","Fc"
"Australia and New Zealand +","41","Yield","2007","Hg/Ha","155241.00000","A "
"Bahamas","41","Yield","2007","Hg/Ha","125000.00000","Fc"
"Bahrain","41","Yield","2007","Hg/Ha","93750.00000","Fc"
"Bangladesh","41","Yield","2007","Hg/Ha","170859.00000","Fc"
"Barbados","41","Yield","2007","Hg/Ha","55384.00000","Fc"
"Belize","41","Yield","2007","Hg/Ha","255325.00000","Fc"
"Benin","41","Yield","2007","Hg/Ha","52830.00000","Fc"
"Bermuda","41","Yield","2007","Hg/Ha","165000.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","95180.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","137739.00000","Fc"
"British Virgin Islands","41","Yield","2007","Hg/Ha","102857.00000","Fc"
"Brunei Darussalam","41","Yield","2007","Hg/Ha","40000.00000","Fc"
"Burundi","41","Yield","2007","Hg/Ha","53333.00000","Fc"
"Cambodia","41","Yield","2007","Hg/Ha","43333.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","101176.00000","Fc"
"Cape Verde","41","Yield","2007","Hg/Ha","295652.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","125903.00000","A "
"Cayman Islands","41","Yield","2007","Hg/Ha","12727.00000","Fc"
"Central African Republic","41","Yield","2007","Hg/Ha","61111.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","349547.00000","A "
"China","41","Yield","2007","Hg/Ha","262552.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","264305.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","52273.00000","Fc"
"Comoros","41","Yield","2007","Hg/Ha","57522.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","79090.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","11077.00000","Fc"
"Cook Islands","41","Yield","2007","Hg/Ha","40000.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","474497.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","446650.00000","Fc"
"Cuba","41","Yield","2007","Hg/Ha","136000.00000","Fc"
"Cyprus","41","Yield","2007","Hg/Ha","275193.00000","Fc"
"Dominica","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","254141.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","71146.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","262507.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","304052.00000","Fc"
"Egypt","41","Yield","2007","Hg/Ha","409302.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","108333.00000","Fc"
"Equatorial Guinea","41","Yield","2007","Hg/Ha","44444.00000","Fc"
"Ethiopia","41","Yield","2007","Hg/Ha","80000.00000","Fc"
"Europe +","41","Yield","2007","Hg/Ha","342374.00000","A "
"Fiji","41","Yield","2007","Hg/Ha","76470.00000","Fc"
"French Guiana","41","Yield","2007","Hg/Ha","72000.00000","Fc"
"French Polynesia","41","Yield","2007","Hg/Ha","80000.00000","Fc"
"Gabon","41","Yield","2007","Hg/Ha","65000.00000","Fc"
"Ghana","41","Yield","2007","Hg/Ha","79861.00000","Fc"
"Greece","41","Yield","2007","Hg/Ha","235294.00000","Fc"
"Grenada","41","Yield","2007","Hg/Ha","24290.00000","Fc"
"Guadeloupe","41","Yield","2007","Hg/Ha","171713.00000","Fc"
"Guam","41","Yield","2007","Hg/Ha","233333.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","348768.00000","Fc"
"Guinea","41","Yield","2007","Hg/Ha","39024.00000","Fc"
"Guinea-Bissau","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Guyana","41","Yield","2007","Hg/Ha","85000.00000","Fc"
"Haiti","41","Yield","2007","Hg/Ha","65111.00000","Fc"
"Honduras","41","Yield","2007","Hg/Ha","433333.00000","Fc"
"India","41","Yield","2007","Hg/Ha","349829.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","161448.00000","Fc"
"Iran, Islamic Republic of","41","Yield","2007","Hg/Ha","214285.00000","Fc"
"Israel","41","Yield","2007","Hg/Ha","503130.00000","Fc"
"Italy","41","Yield","2007","Hg/Ha","200000.00000","Fc"
"Jamaica","41","Yield","2007","Hg/Ha","80645.00000","Fc"
"Japan","41","Yield","2007","Hg/Ha","34166.00000","Fc"
"Jordan","41","Yield","2007","Hg/Ha","218151.00000","Fc"
"Kenya","41","Yield","2007","Hg/Ha","153412.00000","Fc"
"Kiribati","41","Yield","2007","Hg/Ha","52727.00000","Fc"
"Korea, Republic of","41","Yield","2007","Hg/Ha","0.00000","NR"
"Lao People's Democratic Republic","41","Yield","2007","Hg/Ha","73846.00000","Fc"
"Lebanon","41","Yield","2007","Hg/Ha","300000.00000","Fc"
"Liberia","41","Yield","2007","Hg/Ha","109090.00000","Fc"
"Libyan Arab Jamahiriya","41","Yield","2007","Hg/Ha","0.00000","NR"
"Madagascar","41","Yield","2007","Hg/Ha","58000.00000","Fc"
"Malawi","41","Yield","2007","Hg/Ha","192500.00000","Fc"
"Malaysia","41","Yield","2007","Hg/Ha","203846.00000","Fc"
"Maldives","41","Yield","2007","Hg/Ha","25457.00000","Fc"
"Mali","41","Yield","2007","Hg/Ha","275559.00000","Fc"
"Martinique","41","Yield","2007","Hg/Ha","157894.00000","Fc"
"Mauritius","41","Yield","2007","Hg/Ha","194525.00000","Fc"
"Melanesia +","41","Yield","2007","Hg/Ha","137049.00000","A "
"Mexico","41","Yield","2007","Hg/Ha","259685.00000","Fc"
"Micronesia +","41","Yield","2007","Hg/Ha","54817.00000","A "
"Micronesia, Federated States of","41","Yield","2007","Hg/Ha","53846.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","39377.00000","A "
"Montserrat","41","Yield","2007","Hg/Ha","45714.00000","Fc"
"Morocco","41","Yield","2007","Hg/Ha","373915.00000","Fc"
"Mozambique","41","Yield","2007","Hg/Ha","64285.00000","Fc"
