"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","41","Yield","2007","Hg/Ha","38060.00000","A "
"Americas +","41","Yield","2007","Hg/Ha","163384.00000","A "
"Angola","41","Yield","2007","Hg/Ha","121739.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","187049.00000","A "
"Benin","41","Yield","2007","Hg/Ha","108695.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","103508.00000","Fc"
"Burundi","41","Yield","2007","Hg/Ha","108333.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","224137.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","154545.00000","A "
"Central African Republic","41","Yield","2007","Hg/Ha","75675.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","170113.00000","A "
"China","41","Yield","2007","Hg/Ha","138541.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","138541.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","193939.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","125000.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","65136.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","171875.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","66966.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","154545.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","132000.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","138541.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","155555.00000","Fc"
"Equatorial Guinea","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Gabon","41","Yield","2007","Hg/Ha","79761.00000","Fc"
"Gambia","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Ghana","41","Yield","2007","Hg/Ha","63333.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","279580.00000","Fc"
"Guinea","41","Yield","2007","Hg/Ha","26774.00000","Fc"
"Guinea-Bissau","41","Yield","2007","Hg/Ha","84210.00000","Fc"
"Honduras","41","Yield","2007","Hg/Ha","142579.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","171806.00000","Fc"
"Liberia","41","Yield","2007","Hg/Ha","107647.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","116666.00000","Fc"
"Malaysia","41","Yield","2007","Hg/Ha","211440.00000","Fc"
"Melanesia +","41","Yield","2007","Hg/Ha","148095.00000","A "
"Mexico","41","Yield","2007","Hg/Ha","122878.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","106255.00000","A "
"Nicaragua","41","Yield","2007","Hg/Ha","250000.00000","Fc"
"Nigeria","41","Yield","2007","Hg/Ha","26984.00000","Fc"
"Oceania +","41","Yield","2007","Hg/Ha","148095.00000","A "
"Panama","41","Yield","2007","Hg/Ha","107692.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","145833.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","96296.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","189334.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","118461.00000","Fc"
"Sao Tome and Principe","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Senegal","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Sierra Leone","41","Yield","2007","Hg/Ha","81250.00000","Fc"
"Solomon Islands","41","Yield","2007","Hg/Ha","172222.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","160508.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","187315.00000","A "
"Suriname","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","144444.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","146859.00000","Fc"
"Togo","41","Yield","2007","Hg/Ha","85106.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","122693.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","33300.00000","A "
"World +","41","Yield","2007","Hg/Ha","139018.00000","A "

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
