"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","41","Yield","2007","Hg/Ha","150400.00000","Fc"
"Africa +","41","Yield","2007","Hg/Ha","109203.00000","A "
"Albania","41","Yield","2007","Hg/Ha","188902.00000","Fc"
"Algeria","41","Yield","2007","Hg/Ha","210526.00000","Fc"
"Americas +","41","Yield","2007","Hg/Ha","257608.00000","A "
"Angola","41","Yield","2007","Hg/Ha","51250.00000","Fc"
"Argentina","41","Yield","2007","Hg/Ha","286764.00000","Fc"
"Armenia","41","Yield","2007","Hg/Ha","183338.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","144913.00000","A "
"Australia","41","Yield","2007","Hg/Ha","355463.00000","Fc"
"Australia and New Zealand +","41","Yield","2007","Hg/Ha","388933.00000","A "
"Austria","41","Yield","2007","Hg/Ha","294930.00000","Fc"
"Azerbaijan","41","Yield","2007","Hg/Ha","154569.00000","Fc"
"Bahamas","41","Yield","2007","Hg/Ha","0.00000","NR"
"Bahrain","41","Yield","2007","Hg/Ha","200000.00000","Fc"
"Bangladesh","41","Yield","2007","Hg/Ha","149768.00000","Fc"
"Belarus","41","Yield","2007","Hg/Ha","211947.00000","Fc"
"Belgium","41","Yield","2007","Hg/Ha","469779.00000","Fc"
"Belize","41","Yield","2007","Hg/Ha","75873.00000","Fc"
"Benin","41","Yield","2007","Hg/Ha","30000.00000","Fc"
"Bermuda","41","Yield","2007","Hg/Ha","244444.00000","Fc"
"Bhutan","41","Yield","2007","Hg/Ha","102212.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","53666.00000","Fc"
"Bosnia and Herzegovina","41","Yield","2007","Hg/Ha","93782.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","240355.00000","Fc"
"Bulgaria","41","Yield","2007","Hg/Ha","133197.00000","Fc"
"Burkina Faso","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Burundi","41","Yield","2007","Hg/Ha","26693.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","31555.00000","Fc"
"Canada","41","Yield","2007","Hg/Ha","312781.00000","Fc"
"Cape Verde","41","Yield","2007","Hg/Ha","165217.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","155218.00000","A "
"Central African Republic","41","Yield","2007","Hg/Ha","25641.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","255963.00000","A "
"Central Asia +","41","Yield","2007","Hg/Ha","163518.00000","A "
"Chad","41","Yield","2007","Hg/Ha","53846.00000","Fc"
"Chile","41","Yield","2007","Hg/Ha","152388.00000","Fc"
"China","41","Yield","2007","Hg/Ha","126661.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","126617.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","169908.00000","Fc"
"Comoros","41","Yield","2007","Hg/Ha","142857.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","86000.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","46330.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","235304.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","0.00000","NR"
"Croatia","41","Yield","2007","Hg/Ha","170730.00000","Fc"
"Cuba","41","Yield","2007","Hg/Ha","147097.00000","Fc"
"Cyprus","41","Yield","2007","Hg/Ha","247217.00000","Fc"
"Czech Republic","41","Yield","2007","Hg/Ha","257150.00000","Fc"
"Denmark","41","Yield","2007","Hg/Ha","394563.00000","Fc"
"Dominica","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","216325.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","89502.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","129691.00000","A "
"Eastern Europe +","41","Yield","2007","Hg/Ha","144579.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","68022.00000","Fc"
"Egypt","41","Yield","2007","Hg/Ha","255716.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","218481.00000","Fc"
"Eritrea","41","Yield","2007","Hg/Ha","64000.00000","Fc"
"Estonia","41","Yield","2007","Hg/Ha","171976.00000","Fc"
"Ethiopia","41","Yield","2007","Hg/Ha","71914.00000","Fc"
"Europe +","41","Yield","2007","Hg/Ha","183058.00000","A "
"Faroe Islands","41","Yield","2007","Hg/Ha","140000.00000","Fc"
"Fiji","41","Yield","2007","Hg/Ha","80000.00000","Fc"
"Finland","41","Yield","2007","Hg/Ha","256996.00000","Fc"
"France","41","Yield","2007","Hg/Ha","453765.00000","Fc"
"French Polynesia","41","Yield","2007","Hg/Ha","90000.00000","Fc"
"Georgia","41","Yield","2007","Hg/Ha","108113.00000","Fc"
"Germany","41","Yield","2007","Hg/Ha","423469.00000","Fc"
