"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","41","Yield","2007","Hg/Ha","32470.00000","Fc"
"Africa +","41","Yield","2007","Hg/Ha","23530.00000","A "
"Albania","41","Yield","2007","Hg/Ha","0.00000","NR"
"Algeria","41","Yield","2007","Hg/Ha","15000.00000","Fc"
"Americas +","41","Yield","2007","Hg/Ha","50130.00000","A "
"Angola","41","Yield","2007","Hg/Ha","6888.00000","Fc"
"Argentina","41","Yield","2007","Hg/Ha","65603.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","43100.00000","A "
"Australia","41","Yield","2007","Hg/Ha","81500.00000","Fc"
"Australia and New Zealand +","41","Yield","2007","Hg/Ha","81500.00000","A "
"Azerbaijan","41","Yield","2007","Hg/Ha","33886.00000","Fc"
"Bangladesh","41","Yield","2007","Hg/Ha","40120.00000","Fc"
"Belize","41","Yield","2007","Hg/Ha","48040.00000","Fc"
"Benin","41","Yield","2007","Hg/Ha","26632.00000","Fc"
"Bhutan","41","Yield","2007","Hg/Ha","27230.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","21713.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","38260.00000","Fc"
"Brunei Darussalam","41","Yield","2007","Hg/Ha","12000.00000","Fc"
"Bulgaria","41","Yield","2007","Hg/Ha","46446.00000","Fc"
"Burkina Faso","41","Yield","2007","Hg/Ha","24600.00000","Fc"
"Burundi","41","Yield","2007","Hg/Ha","33767.00000","Fc"
"Cambodia","41","Yield","2007","Hg/Ha","26215.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","13000.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","37645.00000","A "
"Central African Republic","41","Yield","2007","Hg/Ha","22000.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","33846.00000","A "
"Central Asia +","41","Yield","2007","Hg/Ha","31346.00000","A "
"Chad","41","Yield","2007","Hg/Ha","13297.00000","Fc"
"Chile","41","Yield","2007","Hg/Ha","50773.00000","Fc"
"China","41","Yield","2007","Hg/Ha","64223.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","64329.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","61719.00000","Fc"
"Comoros","41","Yield","2007","Hg/Ha","12142.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","7368.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","7550.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","32214.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","17012.00000","Fc"
"Cuba","41","Yield","2007","Hg/Ha","32300.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","48011.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","22774.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","63834.00000","A "
"Eastern Europe +","41","Yield","2007","Hg/Ha","45572.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","43554.00000","Fc"
"Egypt","41","Yield","2007","Hg/Ha","102884.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","74650.00000","Fc"
"Ethiopia","41","Yield","2007","Hg/Ha","17298.00000","Fc"
"Europe +","41","Yield","2007","Hg/Ha","59396.00000","A "
"Fiji","41","Yield","2007","Hg/Ha","26516.00000","Fc"
"France","41","Yield","2007","Hg/Ha","50693.00000","Fc"
"French Guiana","41","Yield","2007","Hg/Ha","23042.00000","Fc"
"Gabon","41","Yield","2007","Hg/Ha","22000.00000","Fc"
"Gambia","41","Yield","2007","Hg/Ha","6869.00000","Fc"
"Ghana","41","Yield","2007","Hg/Ha","20166.00000","Fc"
"Greece","41","Yield","2007","Hg/Ha","73697.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","26923.00000","Fc"
"Guinea","41","Yield","2007","Hg/Ha","17769.00000","Fc"
"Guinea-Bissau","41","Yield","2007","Hg/Ha","18156.00000","Fc"
"Guyana","41","Yield","2007","Hg/Ha","43314.00000","Fc"
"Haiti","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Honduras","41","Yield","2007","Hg/Ha","37511.00000","Fc"
"Hungary","41","Yield","2007","Hg/Ha","40416.00000","Fc"
"India","41","Yield","2007","Hg/Ha","33029.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","47052.00000","Fc"
"Iran, Islamic Republic of","41","Yield","2007","Hg/Ha","55555.00000","Fc"
"Iraq","41","Yield","2007","Hg/Ha","31629.00000","Fc"
"Italy","41","Yield","2007","Hg/Ha","64223.00000","Fc"
"Jamaica","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Japan","41","Yield","2007","Hg/Ha","65110.00000","Fc"
"Kazakhstan","41","Yield","2007","Hg/Ha","33678.00000","Fc"
"Kenya","41","Yield","2007","Hg/Ha","28714.00000","Fc"
"Korea, Democratic People's Republic of","41","Yield","2007","Hg/Ha","40869.00000","Fc"
"Korea, Republic of","41","Yield","2007","Hg/Ha","63541.00000","Fc"
"Kyrgyzstan","41","Yield","2007","Hg/Ha","28235.00000","Fc"
"Lao People's Democratic Republic","41","Yield","2007","Hg/Ha","34688.00000","Fc"
"Liberia","41","Yield","2007","Hg/Ha","14487.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","27661.00000","Fc"
"Malawi","41","Yield","2007","Hg/Ha","19480.00000","Fc"
"Malaysia","41","Yield","2007","Hg/Ha","33298.00000","Fc"
"Mali","41","Yield","2007","Hg/Ha","27621.00000","Fc"
"Mauritania","41","Yield","2007","Hg/Ha","42777.00000","Fc"
"Mauritius","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Melanesia +","41","Yield","2007","Hg/Ha","28656.00000","A "
"Mexico","41","Yield","2007","Hg/Ha","41536.00000","Fc"
"Micronesia +","41","Yield","2007","Hg/Ha","11111.00000","A "
"Micronesia, Federated States of","41","Yield","2007","Hg/Ha","11111.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","9116.00000","A "
"Morocco","41","Yield","2007","Hg/Ha","73666.00000","Fc"
"Mozambique","41","Yield","2007","Hg/Ha","6342.00000","Fc"
"Myanmar","41","Yield","2007","Hg/Ha","39768.00000","Fc"
"Nepal","41","Yield","2007","Hg/Ha","25569.00000","Fc"
"Nicaragua","41","Yield","2007","Hg/Ha","39484.00000","Fc"
"Niger","41","Yield","2007","Hg/Ha","31201.00000","Fc"
"Nigeria","41","Yield","2007","Hg/Ha","12998.00000","Fc"
"Northern Africa +","41","Yield","2007","Hg/Ha","101861.00000","A "
"Northern America +","41","Yield","2007","Hg/Ha","80919.00000","A "
"Oceania +","41","Yield","2007","Hg/Ha","66974.00000","A "
"Pakistan","41","Yield","2007","Hg/Ha","33013.00000","Fc"
"Panama","41","Yield","2007","Hg/Ha","23816.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","33000.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","72122.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","38007.00000","Fc"
"Portugal","41","Yield","2007","Hg/Ha","60866.00000","Fc"
"Puerto Rico","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Réunion","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Romania","41","Yield","2007","Hg/Ha","34023.00000","Fc"
"Russian Federation","41","Yield","2007","Hg/Ha","45135.00000","Fc"
"Rwanda","41","Yield","2007","Hg/Ha","42857.00000","Fc"
"Saint Vincent and Grenadines","41","Yield","2007","Hg/Ha","0.00000","NR"
"Saudi Arabia","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Senegal","41","Yield","2007","Hg/Ha","24078.00000","Fc"
"Sierra Leone","41","Yield","2007","Hg/Ha","10256.00000","Fc"
"Solomon Islands","41","Yield","2007","Hg/Ha","39310.00000","Fc"
"Somalia","41","Yield","2007","Hg/Ha","61538.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","22857.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","45115.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","39899.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","23241.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","34432.00000","A "
