"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","41","Yield","2007","Hg/Ha","10359.00000","A "
"Albania","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Americas +","41","Yield","2007","Hg/Ha","28021.00000","A "
"Argentina","41","Yield","2007","Hg/Ha","29711.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","13955.00000","A "
"Australia","41","Yield","2007","Hg/Ha","24369.00000","Fc"
"Australia and New Zealand +","41","Yield","2007","Hg/Ha","24369.00000","A "
"Austria","41","Yield","2007","Hg/Ha","25232.00000","Fc"
"Azerbaijan","41","Yield","2007","Hg/Ha","4000.00000","Fc"
"Belize","41","Yield","2007","Hg/Ha","19137.00000","Fc"
"Benin","41","Yield","2007","Hg/Ha","5423.00000","Fc"
"Bhutan","41","Yield","2007","Hg/Ha","7609.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","16654.00000","Fc"
"Bosnia and Herzegovina","41","Yield","2007","Hg/Ha","14926.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","28133.00000","Fc"
"Bulgaria","41","Yield","2007","Hg/Ha","6017.00000","Fc"
"Burkina Faso","41","Yield","2007","Hg/Ha","11250.00000","Fc"
"Burundi","41","Yield","2007","Hg/Ha","7500.00000","Fc"
"Cambodia","41","Yield","2007","Hg/Ha","15394.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","5833.00000","Fc"
"Canada","41","Yield","2007","Hg/Ha","23010.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","16515.00000","A "
"Central Asia +","41","Yield","2007","Hg/Ha","16796.00000","A "
"Chile","41","Yield","2007","Hg/Ha","0.00000","NR"
"China","41","Yield","2007","Hg/Ha","15505.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","15505.00000","Fc"
"Colombia","41","Yield","2007","Hg/Ha","22154.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","4830.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","0.00000","NR"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","8812.00000","Fc"
"Croatia","41","Yield","2007","Hg/Ha","19489.00000","Fc"
"Czech Republic","41","Yield","2007","Hg/Ha","17512.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","11930.00000","A "
"Eastern Asia +","41","Yield","2007","Hg/Ha","15386.00000","A "
"Eastern Europe +","41","Yield","2007","Hg/Ha","10820.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","19677.00000","Fc"
"Egypt","41","Yield","2007","Hg/Ha","33030.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","22727.00000","Fc"
"Ethiopia","41","Yield","2007","Hg/Ha","9200.00000","Fc"
"Europe +","41","Yield","2007","Hg/Ha","13891.00000","A "
"France","41","Yield","2007","Hg/Ha","27567.00000","Fc"
"French Guiana","41","Yield","2007","Hg/Ha","0.00000","NR"
"Gabon","41","Yield","2007","Hg/Ha","10476.00000","Fc"
"Georgia","41","Yield","2007","Hg/Ha","73684.00000","Fc"
"Germany","41","Yield","2007","Hg/Ha","10000.00000","Fc"
"Greece","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","26923.00000","Fc"
"Guyana","41","Yield","2007","Hg/Ha","0.00000","NR"
"Honduras","41","Yield","2007","Hg/Ha","21333.00000","Fc"
"Hungary","41","Yield","2007","Hg/Ha","15339.00000","Fc"
"India","41","Yield","2007","Hg/Ha","12351.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","12908.00000","Fc"
"Iran, Islamic Republic of","41","Yield","2007","Hg/Ha","23636.00000","Fc"
"Iraq","41","Yield","2007","Hg/Ha","10000.00000","Fc"
"Italy","41","Yield","2007","Hg/Ha","33343.00000","Fc"
"Japan","41","Yield","2007","Hg/Ha","16391.00000","Fc"
"Jordan","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Kazakhstan","41","Yield","2007","Hg/Ha","16856.00000","Fc"
"Kenya","41","Yield","2007","Hg/Ha","8400.00000","Fc"
"Korea, Democratic People's Republic of","41","Yield","2007","Hg/Ha","11500.00000","Fc"
"Korea, Republic of","41","Yield","2007","Hg/Ha","14979.00000","Fc"
"Kyrgyzstan","41","Yield","2007","Hg/Ha","8518.00000","Fc"
"Lao People's Democratic Republic","41","Yield","2007","Hg/Ha","13003.00000","Fc"
"Latvia","41","Yield","2007","Hg/Ha","0.00000","NR"
"Liberia","41","Yield","2007","Hg/Ha","4102.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","10000.00000","Fc"
